COMUNIDAD;PROVINCIA;MUNICIPIO;SUP M2;FECHA APERTURA;TIENDA;TARIFA;ROL;Nivel de surtido;CV 2022;PROG;CV 2021;PROG;CV 2020
ANDALUCÍA;MÁLAGA;RINCON DE LA VICTORIA;395;27.06.14;PXMA RINCÓN DE LA VICTORIA - AVDA. MEDITERRANEO, 133;PLUS;URB.RESIDENCIAL;NACIONAL4;1’290’844.65 €;3%;1’247’697.04 €;3%;1’210’143.82 €
ANDALUCÍA;SEVILLA;SEVILLA;220;26.11.15;PXSE AMOR DE DIOS, 45;ESTANDAR;URB.COMERCIAL;NACIONAL5;1’289’894.77 €;17%;1’069’426.56 €;0%;1’071’543.14 €
EXTREMADURA;CÁCERES;MORALEJA;687;16.09.21;PXCC MORALEJA - LUSITANIA, 51;AGRESIVA;URB.RESIDENCIAL;NACIONAL4;1’287’705.99 €;74%;337’859.07 €;100%; -   € 
CASTILLA Y LEÓN;ZAMORA;ALCAÑICES;336;16.04.20;PXZA ALCAÑICES - ESTACADA 3;ESTANDAR;RURAL;NACIONAL3;1’286’341.19 €;12%;1’135’481.21 €;19%;923’545.55 €
ANDALUCÍA;MÁLAGA;RINCON DE LA VICTORIA;729;13.07.21;PXMA CARLOS HAYA, 60;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’285’736.50 €;59%;532’113.91 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;MADRID;156;09.06.21;PXM ORTEGA Y GASSET 3;PLUS;URB.COMERCIAL;NACIONAL6;1’278’443.05 €;49%;648’872.65 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;MADRID;471;05.05.21;PXM GALILEO, 26;PLUS;URB.RESIDENCIAL;NACIONAL4;1’270’062.82 €;41%;754’132.87 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;MADRID;161;04.09.12;PXM JOSE DEL HIERRO, 44;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’266’830.81 €;9%;1’154’580.95 €;-23%;1’416’052.65 €
COMUNIDAD DE MADRID;MADRID;MADRID;206;17.07.15;PXM ANTONIO LOPEZ III;PLUS;URB.RESIDENCIAL;NACIONAL5;1’264’930.48 €;-1%;1’283’788.41 €;-24%;1’591’123.28 €
ANDALUCÍA;MÁLAGA;RINCON DE LA VICTORIA;680;26.08.21;PXMA CAMINO DE LOS GUINDOS, 8;ESTANDAR;URB.RESIDENCIAL;NACIONAL3;1’262’065.13 €;66%;429’638.55 €;100%; -   € 
